Código IBGE;Municí­pios;Microregião;Estado;Região Geográfica;Área km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensção Educação;IDH - Dimensção Longevidade;Atualização
5200050;Abadia de Goiás;Goiânia;GO;Centro-Oeste;146,78;200;2897;227500,09;0,71;3462,85;10034295,86;5332;0,62;0,83;01/12/2024 20:44:32
5200100;Abadiânia;Entorno de Brasília;GO;Centro-Oeste;1045,13;20461;6281;316431,66;0,69;3248,82;20408330,86;8777;0,58;0,84
5200134;Acreúna;Vale do Rio dos Bois;GO;Centro-Oeste;1566,00;22546;7454;671478,48;0,69;3494,80;26052188,72;10319;0,55;0,82
5200159;Adelândia;Anicuns;GO;Centro-Oeste;115,35;50;894;36543,70;0,70;2956,35;2644077,61;1515;0,62;0,84;01/12/2024 20:43:43
5200175;Água Fria de Goiás;Entorno de Brasília;GO;Centro-Oeste;2029,41;50;1892;255565,62;0,67;2609,37;4938571,32;3036;0,55;0,82;01/12/2024 20:46:17
5200209;Água Limpa;Meia Ponte;GO;Centro-Oeste;452,86;1830;696;45369,13;0,72;2907,12;2023752,51;1367;0,66;0,82
5200258;Águas Lindas de Goiás;Entorno de Brasília;GO;Centro-Oeste;188,38;217698;63025;1884407,89;0,69;3081,68;194223364,73;50745;0,59;0,85
1234568;Albdeo;Overlord;GO;Albdeo;1,00;10;3;4,00;0,10;5,00;6,00;7;0,20;0,30;01/12/2024 20:52:12
5200308;Alexânia;Entorno de Brasília;GO;Centro-Oeste;847,89;28010;9091;811322,77;0,68;2986,65;27152869,08;16629;0,57;0,84
5200506;Aloândia;Meia Ponte;GO;Centro-Oeste;102,16;1986;808;41840,87;0,70;2987,14;2414072,87;1041;0,59;0,83
5200555;Alto Horizonte;Porangatu;GO;Centro-Oeste;503,76;6605;2222;913009,78;0,72;3524,40;7832857,36;6581;0,62;0,84
5200605;Alto Paraíso de Goiás;Chapada dos Veadeiros;GO;Centro-Oeste;2593,90;7688;2458;167586,12;0,71;3313,49;8144587,85;4139;0,61;0,82
5200803;Alvorada do Norte;Vão do Paranã;GO;Centro-Oeste;1259,36;8705;2707;128606,34;0,66;2753,45;7454656,74;3410;0,55;0,82
5200829;Amaralina;Porangatu;GO;Centro-Oeste;1343,17;3845;1274;60092,54;0,61;1648,77;2101225,86;1319;0,49;0,81
5200852;Americano do Brasil;Anicuns;GO;Centro-Oeste;133,56;6164;2243;67555,01;0,70;2941,05;6599572,93;2524;0,63;0,81
5200902;Amorinópolis;Iporá;GO;Centro-Oeste;408,53;3069;1140;60751,25;0,68;2735,45;3120838,36;1305;0,58;0,81
5201108;Anápolis;Anápolis;GO;Centro-Oeste;933,16;391772;127347;14238732,24;0,74;4170,11;531053691,96;270505;0,66;0,82
5201207;Anhanguera;Catalão;GO;Centro-Oeste;56,95;1160;415;17879,60;0,73;3669,87;1523938,09;510;0,66;0,80
5201306;Anicuns;Anicuns;GO;Centro-Oeste;979,23;21981;7733;387017,37;0,71;3279,31;25359110,96;10951;0,63;0,83
5201454;Aparecida do Rio Doce;Sudoeste de Goiás;GO;Centro-Oeste;602,13;2474;869;74499,83;0,69;2674,77;2326805,74;1734;0,58;0,81
5201504;Aporé;Sudoeste de Goiás;GO;Centro-Oeste;2900,16;4232;1465;320053,40;0,69;3382,19;4955280,41;3183;0,58;0,82
5201603;Araçu;Anápolis;GO;Centro-Oeste;148,94;3486;1242;53428,93;0,69;2739,33;3403769,95;1836;0,58;0,84
5201702;Aragarças;Aragarças;GO;Centro-Oeste;662,92;20273;6589;244836,36;0,73;3522,70;23212332,44;7144;0,68;0,83
5201801;Aragoiânia;Goiânia;GO;Centro-Oeste;219,55;10496;3525;108335,41;0,68;3231,05;11390132,41;3861;0,56;0,84
5202155;Araguapaz;Rio Vermelho;GO;Centro-Oeste;2193,70;7783;2776;120573,71;0,67;2934,95;8148809,89;3131;0,54;0,81
5202353;Arenópolis;Aragarças;GO;Centro-Oeste;1074,60;2536;968;142408,82;0,69;2699,20;2615047,33;1514;0,58;0,83
5202502;Aruanã;Rio Vermelho;GO;Centro-Oeste;3050,30;10110;3382;221514,60;0,68;3507,47;11864267,75;4140;0,53;0,83
5202601;Aurilândia;Anicuns;GO;Centro-Oeste;565,34;3058;1190;56895,42;0,70;2455,24;2922851,85;1592;0,62;0,84
5202809;Avelinópolis;Anicuns;GO;Centro-Oeste;173,64;2409;875;44437,71;0,66;2574,59;2252776,81;1530;0,51;0,83
5203104;Baliza;Aragarças;GO;Centro-Oeste;1782,60;5280;1882;77704,34;0,66;1932,34;3636866,14;1448;0,56;0,82
5203203;Barro Alto;Ceres;GO;Centro-Oeste;1093,25;11408;3432;919264,58;0,74;3892,42;13361917,88;9175;0,68;0,85
5203302;Bela Vista de Goiás;Goiânia;GO;Centro-Oeste;1255,42;30492;10517;971073,46;0,72;3498,93;36799263,04;17354;0,61;0,84
5203401;Bom Jardim de Goiás;Aragarças;GO;Centro-Oeste;1899,48;8869;3106;168111,63;0,67;2775,02;8620741,30;3830;0,55;0,81
5203500;Bom Jesus de Goiás;Meia Ponte;GO;Centro-Oeste;1405,12;25648;8451;747000,87;0,70;3322,22;28078798,06;11294;0,57;0,86
5203559;Bonfinópolis;Goiânia;GO;Centro-Oeste;122,29;9919;3244;87077,49;0,68;3168,93;10282388,81;3361;0,58;0,82
5203575;Bonópolis;Porangatu;GO;Centro-Oeste;1628,48;4493;1367;95593,46;0,63;2466,99;3373691,52;2047;0,49;0,81
5203609;Brazabrantes;Anápolis;GO;Centro-Oeste;123,07;3746;1308;108910,41;0,70;3294,96;4310864,73;1565;0,62;0,83
5203807;Britânia;Rio Vermelho;GO;Centro-Oeste;1461,19;5797;2028;113053,16;0,67;2855,53;5793099,07;2860;0,55;0,80
5203906;Buriti Alegre;Meia Ponte;GO;Centro-Oeste;895,46;9484;3444;311200,89;0,71;3375,05;11625425,53;6886;0,61;0,83
5203939;Buriti de Goiás;Anicuns;GO;Centro-Oeste;199,29;2476;947;38073,31;0,69;3092,62;2930179,74;1593;0,57;0,81
5203962;Buritinópolis;Vão do Paranã;GO;Centro-Oeste;247,05;3283;992;75452,00;0,70;2486,76;2467189,62;1317;0,59;0,81
5204003;Cabeceiras;Entorno de Brasília;GO;Centro-Oeste;1127,60;8046;2634;219065,62;0,67;2603,46;6858584,60;3755;0,57;0,82
5204102;Cachoeira Alta;Quirinópolis;GO;Centro-Oeste;1654,56;12666;4258;236330,93;0,71;4044,74;17224727,34;6398;0,57;0,84
5204201;Cachoeira de Goiás;Iporá;GO;Centro-Oeste;422,75;1342;488;27358,69;0,73;2896,09;1413554,92;748;0,67;0,84
5204250;Cachoeira Dourada;Meia Ponte;GO;Centro-Oeste;521,13;8031;2782;893422,77;0,70;3463,21;9635719,88;6299;0,60;0,80
5204300;Caçu;Quirinópolis;GO;Centro-Oeste;2251,01;16270;5506;908793,03;0,73;4426,56;24373939,85;10403;0,60;0,84
5204409;Caiapônia;Sudoeste de Goiás;GO;Centro-Oeste;8637,87;19107;6751;672373,66;0,69;3018,23;20378973,31;8665;0,59;0,81
5204508;Caldas Novas;Meia Ponte;GO;Centro-Oeste;1595,97;93196;31751;2554677,19;0,73;4024,50;127782108,73;65988;0,64;0,83
5204557;Caldazinha;Goiânia;GO;Centro-Oeste;250,89;3848;1329;50661,71;0,69;2998,79;3986277,93;1215;0,59;0,81
5204607;Campestre de Goiás;Vale do Rio dos Bois;GO;Centro-Oeste;273,82;3649;1200;57885,72;0,65;2447,21;2937594,33;1578;0,56;0,80
5204656;Campinaçu;Porangatu;GO;Centro-Oeste;1974,37;3632;1251;61699,74;0,63;2284,73;2860434,91;1611;0,48;0,82
5204706;Campinorte;Porangatu;GO;Centro-Oeste;1067,20;12764;4101;226398,40;0,69;3257,53;13359580,94;4993;0,57;0,84
